pbt_id,state_id,state_name,pbt_name
DBKL,14,WILAYAH PERSEKUTUAN KUALA LUMPUR,DEWAN BANDARAYA KUALA LUMPUR
MBAS,02,KEDAH,MAJLIS BANDARAYA ALOR SETAR
MBI,08,PERAK,MAJLIS BANDARAYA IPOH
MBKT,11,TERENGGANU,MAJLIS BANDARAYA KUALA TERENGGANU
MBMB,04,MELAKA,MAJLIS BANDARAYA MELAKA BERSEJARAH
MBPJ,10,SELANGOR,MAJLIS BANDARAYA PETALING JAYA
MBPP,07,PULAU PINANG,MAJLIS BANDARAYA PULAU PINANG
MBS,05,NEGERI SEMBILAN,MAJLIS BANDARAYA SEREMBAN
MBSA,10,SELANGOR,MAJLIS BANDARAYA SHAH ALAM
MBSJ,10,SELANGOR,MAJLIS BANDARAYA SUBANG JAYA
MBSP,07,PULAU PINANG,MAJLIS BANDARAYA SEBERANG PERAI
MDB,11,TERENGGANU,MAJLIS DEARAH BESUT
MDBACHOK,03,KELANTAN,MAJLIS DAERAH BACHOK
MDBALING,02,KEDAH,MAJLIS DAERAH BALING
MDBB,02,KEDAH,MAJLIS DAERAH BANDAR BAHARU
MDBG,08,PERAK,MAJLIS DAERAH BATU GAJAH
MDCH,06,PAHANG,MAJLIS DAERAH CAMERON HIGHLANDS
MDDABONG,03,KELANTAN,MAJLIS DAERAH DABONG
MDG,08,PERAK,MAJLIS DAERAH GERIK
MDGM,03,KELANTAN,MAJLIS DAERAH GUA MUSANG
MDHS,10,SELANGOR,MAJLIS DAERAH HULU SELANGOR
MDHT,11,TERENGGANU,MAJLIS DAERAH HULU TERENGGANU
MDJ,05,NEGERI SEMBILAN,MAJLIS DAERAH JELEBU
MDJELI,03,KELANTAN,MAJLIS DAERAH JELI
MDK,08,PERAK,MAJLIS DAERAH KERIAN
MDKETEREH,03,KELANTAN,MAJLIS DAERAH KETEREH
MDKK,03,KELANTAN,MAJLIS DAERAH KUALA KRAI
MDKP,05,NEGERI SEMBILAN,MAJLIS DAEAH KUALA PILAH
MDKS,10,SELANGOR,MAJLIS DAERAH KUALA SELANGOR
MDL,06,PAHANG,MAJLIS DAERAH LIPIS
MDM,11,TERENGGANU,MAJLIS DAERAH MARANG
MDMACHANG,03,KELANTAN,MAJLIS DAERAH MACHANG
MDPENDANG,02,KEDAH,MAJLIS DAERAH PENDANG
MDPH,08,PERAK,MAJLIS DAERAH PENGKALAN HULU
MDPM,03,KELANTAN,MAJLIS DAERAH PASIR MAS
MDPP,03,KELANTAN,MAJLIS DAERAH PASIR PUTEH
MDPT,08,PERAK,MAJLIS DAERAH PERAK TENGAH
MDPTERAP,02,KEDAH,MAJLIS DAERAH PADANG TERAP
MDR,05,NEGERI SEMBILAN,MAJLIS DAERAH REMBAU
MDROMPIN,06,PAHANG,MAJLIS DAERAH ROMPIN
MDS,08,PERAK,MAJLIS DAERAH SELAMA
MDSB,10,SELANGOR,MAJLIS DAERAH SABAK BERNAM
MDSIK,02,KEDAH,MAJLIS DAERAH SIK
MDT,05,NEGERI SEMBILAN,MAJLIS DAERAH TAMPIN
MDTM,08,PERAK,MAJLIS DAERAH TANJONG MALIM
MDTMERAH,03,KELANTAN,MAJLIS DAERAH TANAH MERAH
MDTUMPAT,03,KELANTAN,MAJLIS DAERAH TUMPAT
MDY,02,KEDAH,MAJLIS DAERAH YAN
MPAG,04,MELAKA,MAJLIS PERBANDARAN ALOR GAJAH
MPAJ,10,SELANGOR,MAJLIS PERBANDARAN AMPANG JAYA
MPD,11,TERENGGANU,MAJLIS PERBANDARAN DUNGUN
MPHTJ,04,MELAKA,MAJLIS PERBANDARAN HANG TUAH JAYA
MPJ,04,MELAKA,MAJLIS PERBANDARAN JASIN
MPJL,05,NEGERI SEMBILAN,MAJLIS PERBANDARAN JEMPOL
MPK,10,SELANGOR,MAJLIS PERBANDARAN KLANG
MPKB-BRI,03,KELANTAN,MAJLIS PERBANDARAN KOTA BAHRU BANDAYARA ISLAM
MPKJ,10,SELANGOR,MAJLIS PERBANDARAN KAJANG
MPKK,02,KEDAH,MAJLIS PERBANDARAN KULIM
MPKL,10,SELANGOR,MAJLIS PERBANDARAN KUALA LANGAT
MPKPASU,02,KEDAH,MAJLIS PERBANDARAN KUBANG PASU
MPKPR,08,PERAK,MAJLIS DAERAH KAMPAR
MPLBP,02,KEDAH,MAJLIS PERBANDARAN LANGKAWI BANDARAYA PELANCONGAN
MPM,08,PERAK,MAJLIS PERBANDARAN MANJUNG
MPPD,05,NEGERI SEMBILAN,MAJIS PERBANDARAN PORT DICKSON
MPS,10,SELANGOR,MAJLIS PERBANDARAN SELAYANG
MPSEPANG,10,SELANGOR,MAJLIS PERBANDARAN SEPANG
MPSPK,02,KEDAH,MAJLIS PERBANDARAN SUNGAI PETANI
MPT,08,PERAK,MAJLIS PERBANDARAN TAIPING
MPTI,08,PERAK,MAJLIS PERBANDARAN TELUK INTAN
PBT TPHTK,02,KEDAH,PBT TAMAN PERINDUSTRIAN HI-TECH KULIM
PPJ,16,WILAYAH PERSEKUTUAN PUTRAJAYA,PERBADANAN PUTRAJAYA
